NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT06714539,"Patient Specific Virtual Reality for Simulation of Spine Procedures: an Intelligent Image Segmentation, Registration and 3-dimensional Visualization in a Unified Virtual Reality Workflow for Image Guided Therapy, and Education - Physician Testing",https://clinicaltrials.gov/study/NCT06714539,NOT_YET_RECRUITING,Surgical Education,DEVICE: Patient Specific Virtual Reality Stimulation,Sunnybrook Health Sciences Centre,Sunnybrook Research Institute,INTERVENTIONAL
NCT06714526,Effect of Genotype-Guided Oral P2Y12 Inhibitor Selection Vs Conventional Clopidogrel Therapy in Symptomatic ICAD,https://clinicaltrials.gov/study/NCT06714526,NOT_YET_RECRUITING,Intracranial Atherosclerosis,GENETIC: Point-of-Care CYP2C19 Testing|DRUG: ticagrelor + aspirin|DRUG: clopidogrel + aspirin,Sunnybrook Health Sciences Centre,,INTERVENTIONAL
NCT06714513,ID93+GLA-SE Vaccine Against Tuberculosis in Older Adults Aged 55-74,https://clinicaltrials.gov/study/NCT06714513,NOT_YET_RECRUITING,"Tuberculosis, Pulmonary",BIOLOGICAL: QTP101|BIOLOGICAL: Placebo,Quratis Inc.,,INTERVENTIONAL
NCT06714500,Transcatheter Tricuspid Valve Replacement Using the Lux-Valve Plus System,https://clinicaltrials.gov/study/NCT06714500,ENROLLING_BY_INVITATION,Tricuspid Regurgitation,DEVICE: LuxValve PLlus,"Prince of Wales Hospital, Shatin, Hong Kong",,INTERVENTIONAL
NCT06714487,Cognitive Stimulation in Patients With Sclerosis Multiple,https://clinicaltrials.gov/study/NCT06714487,COMPLETED,Multiple Sclerosis,OTHER: cognitive stimulation through games,Institut Investigacio Sanitaria Pere Virgili,,INTERVENTIONAL
NCT06714474,Effectiveness of Virtual Simulation Game in Teaching Venous Blood Sampling Skills to Nursing Students,https://clinicaltrials.gov/study/NCT06714474,RECRUITING,"Nursing Skill|Game-Based Learning|Students, Nursing|Gamification|Blood Sampling Procedure",OTHER: Virtual Simulation Game|OTHER: Traditional Training,Sinop University,Scientific and Technological Research Council of Turkey (TUBITAK)|Ege University,INTERVENTIONAL
NCT06714461,A Study of the Effectiveness of Additional Risk Minimization Measures Related to ARAVA® (Leflunomide) in Saudi Arabia,https://clinicaltrials.gov/study/NCT06714461,NOT_YET_RECRUITING,Rheumatoid Arthritis|Psoriatic Arthritis,DRUG: Leflunomide,Sanofi,,OBSERVATIONAL
NCT06714448,A Study of the Effectiveness of Risk Minimization Measures Related to Depakine® (Sodium Valproate) in Saudi Arabia,https://clinicaltrials.gov/study/NCT06714448,NOT_YET_RECRUITING,Epilepsy|Seizures,DRUG: Sodium valporate,Sanofi,,OBSERVATIONAL
NCT06714435,Effect of Intermittent Hypoxia on Ventilatory Endurance in Healthy Volunteers,https://clinicaltrials.gov/study/NCT06714435,NOT_YET_RECRUITING,Intermittent Hypoxia|Respiratory Endurance,OTHER: Intermittent hypoxia,Poitiers University Hospital,,INTERVENTIONAL
NCT06714422,Apples in Night Shift,https://clinicaltrials.gov/study/NCT06714422,NOT_YET_RECRUITING,Night Work,PROCEDURE: apple group|PROCEDURE: no apple group,Peking University Third Hospital,,INTERVENTIONAL
NCT06714409,Venous Ultrasound Guided Organ Decongestion in Patients Hospitalized with Acute Decompensated Heart Failure,https://clinicaltrials.gov/study/NCT06714409,RECRUITING,Cardiorenal Syndrome|Heart Failure|Acute Kidney Injury|Acute Decompensated Heart Failure,DIAGNOSTIC_TEST: VExUS guided decongestion,Oslo University Hospital,University of Oslo,INTERVENTIONAL
NCT06714396,A Study Exploring the PK/PD Relationship of QRL-101 in Adults With ALS,https://clinicaltrials.gov/study/NCT06714396,RECRUITING,Amyotrophic Lateral Sclerosis,DRUG: QRL-101|OTHER: Placebo,QurAlis Corporation,,INTERVENTIONAL
NCT06714383,Trilaciclib Combing Chemotherapy in the Neoadjuvant Treatment of Osteosarcoma,https://clinicaltrials.gov/study/NCT06714383,RECRUITING,Osteosarcoma,DRUG: Trilaciclib|DRUG: Pirarubicin|DRUG: Lobaplatin,Peking University People's Hospital,,INTERVENTIONAL
NCT06714370,Real-World Evidence of Effectiveness and Safety of Tirabrutinib in Patients with Relapsed or Refractory Primary Central Nervous System Lymphoma in Taiwan: a Nationwide Study,https://clinicaltrials.gov/study/NCT06714370,NOT_YET_RECRUITING,Primary Central Nervous System Lymphoma (PCNSL),,Ono Pharmaceutical Co. Ltd,,OBSERVATIONAL
NCT06714357,ValproIc Acid to Potentiate Anti-EGFR Treatment Efficacy and Prevent/revert Resistance in Colorectal Cancer,https://clinicaltrials.gov/study/NCT06714357,NOT_YET_RECRUITING,Colorectal Cancer Metastatic,DRUG: irinotecan|DRUG: panitumumab|DRUG: Valproic Acid (VPA),"National Cancer Institute, Naples",,INTERVENTIONAL
NCT06714344,Efficacy of an Assisted Therapy Optimizing Module to Improve Physician Adherence,https://clinicaltrials.gov/study/NCT06714344,NOT_YET_RECRUITING,Heart Failure,"DEVICE: KITGuideMe: W61-MD41-AIT, version 1.0.0",Medical University Innsbruck,AIT Austrian Institute of Technology GmbH,INTERVENTIONAL
NCT06714331,Caffeine and Sodium Bicarbonate Supplementation Effects on Resistance Training Performance,https://clinicaltrials.gov/study/NCT06714331,RECRUITING,Nutritional Supplementation|Resistance Training,DIETARY_SUPPLEMENT: Supplements,Memorial University of Newfoundland,,INTERVENTIONAL
NCT06714318,SMARTER: Using Blood Samples to iMprove FIT-bAsed coloRecTal cancEr scReening,https://clinicaltrials.gov/study/NCT06714318,NOT_YET_RECRUITING,Colorectal Cancer,,Vejle Hospital,,OBSERVATIONAL
NCT06714305,Comparison of Effectiveness of Hand Versus Rotary Instrumentation in Pulpectomy of Primary Second Molar Teeth.,https://clinicaltrials.gov/study/NCT06714305,COMPLETED,Irreversible Pulpitis with Apical Periodontitis|Irreversible Pulpitis (toothache)|Irreversible Pulpitis in Primary Tooth,DEVICE: Group B will be assigned to rotary instrumentation.|DEVICE: will be assigned to rotary instrumentation.,RANA AHMAD,,INTERVENTIONAL
NCT06714292,Fluorescent Approach for Refined Endoscopic Marking with Clip Localization and Identification Procedure,https://clinicaltrials.gov/study/NCT06714292,NOT_YET_RECRUITING,Colon Cancer,PROCEDURE: Endoscopic Clipping|PROCEDURE: ICG injection,Seoul National University Hospital,,INTERVENTIONAL
NCT06714279,Laparoscopic-Assisted Transversus Abdominus Plane Block Versus Intraperitoneal Irrigation of Local Anesthetic for Patients Undergoing Laparoscopic Cholecystectomy,https://clinicaltrials.gov/study/NCT06714279,NOT_YET_RECRUITING,Laparoscopic Cholecystectomy|TAP Block|Local Anesthetic,DRUG: Tap Block - Bupivacaine|DRUG: Intraperitoneal infiltration to liver,"Royal College of Surgeons, Ireland",,INTERVENTIONAL
NCT06714266,Trilaciclib in Preventing Hematopoietic Suppression in Patients with Recurrent or Metastatic Head and Neck Squamous Cell Carcinoma,https://clinicaltrials.gov/study/NCT06714266,NOT_YET_RECRUITING,Head and Neck Squamous Cell Carcinoma (HNSCC),DRUG: Trilaciclib,Shandong Cancer Hospital and Institute,,INTERVENTIONAL
NCT06714253,Study of Circular RNA Treatment in Patients with Radiation Induced Xerostomia-1,https://clinicaltrials.gov/study/NCT06714253,NOT_YET_RECRUITING,Radiation-Induced Xerostomia and Hyposalivation,BIOLOGICAL: RXRG001|BIOLOGICAL: Placebo,RiboX Therapeutics Ltd.,,INTERVENTIONAL
NCT06714240,Enhanced Protein Intake to Support Muscle Protein Synthesis in ICU,https://clinicaltrials.gov/study/NCT06714240,NOT_YET_RECRUITING,Critical Illness|Muscle Protein Synthetic Response to Protein,DIETARY_SUPPLEMENT: Normal protein amount|DIETARY_SUPPLEMENT: Elevated protein amount,Maastricht University Medical Center,Danone Nutricia Research,INTERVENTIONAL
NCT06714227,Genetics of Prostate Cancer in Young Patients,https://clinicaltrials.gov/study/NCT06714227,COMPLETED,Prostate Carcinoma,GENETIC: Molecular analysis of genomic DNA (exome sequencing) from peripheral blood sample,IRCCS Azienda Ospedaliero-Universitaria di Bologna,,OBSERVATIONAL
NCT06714214,PREdiction of succeSSful weanING From Continuous Renal Replacement Theraphy: the Possible Role of Dela C-cistatin,https://clinicaltrials.gov/study/NCT06714214,RECRUITING,Acute Kidney Injury,,IRCCS Azienda Ospedaliero-Universitaria di Bologna,,OBSERVATIONAL
NCT06714201,CUrrent Practices of Intensive Care for the Management of Acute Respiratory Distress Syndrome in EurOpe.,https://clinicaltrials.gov/study/NCT06714201,NOT_YET_RECRUITING,ARDS (Acute Respiratory Distress Syndrome),,Universitätsklinikum Hamburg-Eppendorf,Università degli Studi di Trento|Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA)|University of Genova|University of Hamburg-Eppendorf,OBSERVATIONAL
NCT06714188,Application of Personalized Palliative Care in Patients With Newly Diagnosed Idiopathic Pulmonary Fibrosis,https://clinicaltrials.gov/study/NCT06714188,ACTIVE_NOT_RECRUITING,IPF,,IRCCS Azienda Ospedaliero-Universitaria di Bologna,,OBSERVATIONAL
NCT06714175,"Leg Press Power Training with Visual Feedback Games Improves Physical, Cognitive, and Heart Health in Seniors",https://clinicaltrials.gov/study/NCT06714175,ACTIVE_NOT_RECRUITING,Elderly (people Aged 65 or More),BEHAVIORAL: Lower Limb Strength Training Program with Visual Feedback,Kaohsiung Medical University,,INTERVENTIONAL
NCT06714162,A Dietary Supplement Examined for Anti-ageing Effects,https://clinicaltrials.gov/study/NCT06714162,NOT_YET_RECRUITING,Ageing Signs,DIETARY_SUPPLEMENT: Longevity pill,Prenetics Global,San Francisco Research Institute,INTERVENTIONAL
NCT06714149,Impacts of Nitrogen Deposition in the Natural Environment on Pollen Allergy in Belgium,https://clinicaltrials.gov/study/NCT06714149,RECRUITING,Pollen Allergy,DIAGNOSTIC_TEST: Immunoreactivity testing|DIAGNOSTIC_TEST: Immunoreactivity testing (negative control),prof. dr. Rik Schrijvers,Sciensano|KU Leuven|University of Namur|UniversitÃ© Catholique de Louvain,INTERVENTIONAL
NCT06714136,The Role of miRNA in Group 3 Pulmonary Hypertension,https://clinicaltrials.gov/study/NCT06714136,ACTIVE_NOT_RECRUITING,Pulmonary Hypertension,,IRCCS Azienda Ospedaliero-Universitaria di Bologna,,OBSERVATIONAL
NCT06714123,Senicapoc in Patients With Worsening Fibrotic Interstitial Lung Disease,https://clinicaltrials.gov/study/NCT06714123,NOT_YET_RECRUITING,"Pulmonary Fibrosis, Interstitial Lung Disease|Idiopathic Pulmonary Fibrosis",DRUG: Senicapoc|DRUG: Placebo,Vejle Hospital,Odense Patient Data Explorative Network,INTERVENTIONAL
NCT06714110,A Review of Precice Intramedullary Limb Lengthening (IMLL) System for Limb Lengthening Procedures in Children.,https://clinicaltrials.gov/study/NCT06714110,ENROLLING_BY_INVITATION,Limb Length Discrepancy,DEVICE: Intramedullary Limb Lengthening Device|DEVICE: External Fixator Limb Lengthening Device,NuVasive,,OBSERVATIONAL
NCT06714097,"Application of Digital Twins' Technology in Patients Who Had a Stroke, with Moyamoya Disease and with Cerebral Amyloid Angiopathy (CAA) During the Secondary Prevention Phase: a Proof of Concept Using a Randomized Control Trial (Clinical Study 6, STRATIF-AI Project)",https://clinicaltrials.gov/study/NCT06714097,NOT_YET_RECRUITING,Stroke|Moyamoya Disease|Cerebral Amyloid Angiopathy,DEVICE: AI|OTHER: healthy dialogue,Fondazione I.R.C.C.S. Istituto Neurologico Carlo Besta,,INTERVENTIONAL
NCT06714084,"CNCMT：a Multi-center, Prospective, Single-arm Study",https://clinicaltrials.gov/study/NCT06714084,ENROLLING_BY_INVITATION,Locally Advanced Cervical Cancer|PD1|CTLA4,DRUG: Neoadjuvant Chemotherapy (NACT)|DRUG: maintenance therapy,Hubei Cancer Hospital,"Yichang Central People's Hospital|Akeso Pharmaceuticals, Inc.",INTERVENTIONAL
NCT06714071,Relation Between CRP / Albumin Ratio and Coagulation Profile in AML,https://clinicaltrials.gov/study/NCT06714071,NOT_YET_RECRUITING,AML,DIAGNOSTIC_TEST: CRP and Albumin and coagulation profile,Assiut University,,OBSERVATIONAL
NCT06714058,Cardiometabolic Risk of Obese Subjects: Cross-sectional Study,https://clinicaltrials.gov/study/NCT06714058,RECRUITING,Obesity and Obesity-related Medical Conditions|Cardiovascular Risk|Genetics,,IRCCS Azienda Ospedaliero-Universitaria di Bologna,,OBSERVATIONAL
NCT06714045,Mediastinal Recurrence of Lympho-proliferative Disorders: a Biopsy is Needed,https://clinicaltrials.gov/study/NCT06714045,COMPLETED,Lymphoma,,IRCCS Azienda Ospedaliero-Universitaria di Bologna,,OBSERVATIONAL
NCT06714032,Effect of Traditional Chinese Medicine of Severe COVID-19,https://clinicaltrials.gov/study/NCT06714032,COMPLETED,Severe COVID-19,DRUG: TCM plus conventional drug|DRUG: TCM placebo plus conventional drug,Henan University of Traditional Chinese Medicine,,INTERVENTIONAL
NCT06714019,PL_GNT01_ISR_Grant 53234273,https://clinicaltrials.gov/study/NCT06714019,ENROLLING_BY_INVITATION,Transthyretin Cardiomyopathy (TTR-CM)|Transthyretin (TTR) Amyloid Cardiomyopathy|Transthyretin Amyloidosis,,"National Institute of Cardiology, Warsaw, Poland",Pfizer,OBSERVATIONAL
NCT06714006,Phase 1 Study to Evaluate the Safety and Tolerability of Intravenously Administered PYC-003,https://clinicaltrials.gov/study/NCT06714006,NOT_YET_RECRUITING,Autosomal Dominant Polycystic Kidney Disease (ADPKD),DRUG: PYC-003,PYC Therapeutics,,INTERVENTIONAL
NCT06713993,Semmelweis Esophageal Cancer Study: Noninvasive Prognostic Parameters in Patients With Oesophageal and Esophagogastric Junction Cancer,https://clinicaltrials.gov/study/NCT06713993,RECRUITING,Esophageal Cancer (EsC),,Semmelweis University,,OBSERVATIONAL
NCT06713980,Study on the Effects of Acupuncture in Patients with Cyclic Mastalgia,https://clinicaltrials.gov/study/NCT06713980,NOT_YET_RECRUITING,Breast Pain,OTHER: sham acupuncture|OTHER: acupuncture,Chuan Yu,,INTERVENTIONAL
NCT06713967,Comparison of Pregnancy Outcomes in Women with Polycystic Ovarian Syndrome with and Without Glucophage,https://clinicaltrials.gov/study/NCT06713967,NOT_YET_RECRUITING,Polycystic Ovarian Syndrome (PCOS) and Pregnancy Outcomes,PROCEDURE: Metformin (Glucophage)|PROCEDURE: Standard Care (Diet and Exercise Only),University of Health Sciences Lahore,,INTERVENTIONAL
NCT06713954,Analysis of Dietary Intake in Professional Female Football Players,https://clinicaltrials.gov/study/NCT06713954,NOT_YET_RECRUITING,Dietary Assessment,BEHAVIORAL: Dietary assessment,University Ramon Llull,,OBSERVATIONAL
NCT06713941,Management of Bone Metastases,https://clinicaltrials.gov/study/NCT06713941,ACTIVE_NOT_RECRUITING,Cancer|Bone Metastases,OTHER: Study of the treatment,Hospices Civils de Lyon,,OBSERVATIONAL
NCT06713928,Effectiveness of Dog-Assisted Therapy on Compliance and Home Oral Hygiene Activities in Disabled Patients,https://clinicaltrials.gov/study/NCT06713928,COMPLETED,"Disabilities|Dog Therapy|Oral Hygiene, Oral Health",OTHER: Oral hygiene with dog therapy,"University of Turin, Italy",,INTERVENTIONAL
NCT06713915,Diagnostic Performance of Contrast-Enhanced Mammography,https://clinicaltrials.gov/study/NCT06713915,NOT_YET_RECRUITING,Mammography,DIAGNOSTIC_TEST: Contrast-Enhanced Mammography,ZHOU Yidong,,OBSERVATIONAL
NCT06713902,Extracellular Vesicles in Fibrin Gel for Cartilage Repair,https://clinicaltrials.gov/study/NCT06713902,RECRUITING,Joint Disease,,I.R.C.C.S Ospedale Galeazzi-Sant'Ambrogio,,OBSERVATIONAL
NCT06713889,Identifying Biological Markers of Cardiovascular Events in Patients With Aortic Stenosis or TAVI,https://clinicaltrials.gov/study/NCT06713889,NOT_YET_RECRUITING,Aortic Stenosis,BIOLOGICAL: Biocollection|BEHAVIORAL: Quality of life questionnaires,Hospices Civils de Lyon,,OBSERVATIONAL
NCT06713876,Long-term Outcomes of Patients Undergoing ECMO-assisted PCI,https://clinicaltrials.gov/study/NCT06713876,ACTIVE_NOT_RECRUITING,Complex High-risk and Indicated Patients,DEVICE: VA-ECMO-assisted PCI,"Ling Tao, MD, PhD",,OBSERVATIONAL
NCT06713863,Intervention Effectiveness Study of BEtter AT LEarning (BEATLE)- Digital Neuropsychological Rehabilitation Program,https://clinicaltrials.gov/study/NCT06713863,NOT_YET_RECRUITING,"Dyslexia, Developmental|Developmental Language Disorder|Specific Learning Disorder|Borderline Intellectual Functioning",OTHER: BEtter At LEarning (BEATLE)- Digital Care Pathway,Helsinki University Central Hospital,,INTERVENTIONAL
NCT06713850,Angioplasty With Shockwave IVL Catheter System in Femoropopliteal Lesions,https://clinicaltrials.gov/study/NCT06713850,RECRUITING,Peripheral Artery Disease (PAD)|Chronic Limb Threatening Ischemia,DEVICE: Shockwave balloons,"Liyuan Hospital of Tongji Medical College, Huazhong University of Science and Technology","Shanghai Zhongshan Hospital|Huashan Hospital|Xuanwu Hospital, Beijing|The General Hospital of Southern Theater Command|Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine|RenJi Hospital|Chengdu University of Traditional Chinese Medicine",OBSERVATIONAL
NCT06713837,IMPACT-AML: A Randomized Pragmatic Clinical Trial for Relapsed or Refractory Acute Myeloid Leukemia.,https://clinicaltrials.gov/study/NCT06713837,NOT_YET_RECRUITING,Acute Myeloid Leukemia|Relapse/Recurrence,DRUG: High intensity therapies|DRUG: Low intensity therapies,Istituto Scientifico Romagnolo per lo Studio e la cura dei Tumori,"Hospital Vall d'Hebron|Cyprus Institute of Neurology and Genetics|European Leukemia Net|Fundacion Para La Investigacion Hospital La Fe|Ostdeutsche Studiengruppe Haematologie Und Onkologie e.V.|Ospedale Pediatrico Bambin Gesù|Czech Lymphoma Study Group|Charite University, Berlin, Germany|Fundación Instituto de Estudios de Ciencias de la Salud de Castilla y León|University of Bologna|Hannover Medical School|German Society for Pediatric Oncology and Hematology GPOH gGmbH|Toscana Life Sciences Sviluppo s.r.l.|Lithuanian University of Health Sciences|Gruppo Italiano Malattie EMatologiche dell'Adulto|TIMELEX",INTERVENTIONAL
NCT06713824,"Neoadjuvant Radiotherapy Before Surgery for Rectal Cancer, Surgical and Oncological Outcome Analysis, Retrospective Case Control Study in a Single Institute.",https://clinicaltrials.gov/study/NCT06713824,ACTIVE_NOT_RECRUITING,General Surgery|Radiology,,Taichung Veterans General Hospital,,OBSERVATIONAL
NCT06713811,Evaluation of the Impact of Electronic Monitoring on Patient Compliance in Hematology,https://clinicaltrials.gov/study/NCT06713811,NOT_YET_RECRUITING,Hemopathies,OTHER: Telemonitoring,"Private Hospital of Confluent, France",,INTERVENTIONAL
NCT06713798,Targeting PD-L1 and TIGIT in Tumors With Tertiary Lymphoid Structures,https://clinicaltrials.gov/study/NCT06713798,NOT_YET_RECRUITING,Metastatic Cancer Lung|Advanced Lung Cancer|CBNPC Cancer,DRUG: Atezolizumab 1200 mg IV|DRUG: Tiragolumab 600 mg IV,"Gustave Roussy, Cancer Campus, Grand Paris",Roche Global Development,INTERVENTIONAL
NCT06713785,Personalised Electronic Record Supported Optimisation of Amlodipine for Patients With Hypertension,https://clinicaltrials.gov/study/NCT06713785,WITHDRAWN,Hypertension,DRUG: Amlodipine,Queen Mary University of London,INNOVATEUK|Closed Loop Medicine Ltd,INTERVENTIONAL
NCT06713772,"To Evaluate The Skin Closure Time, Parents' Satisfaction, Post Operative Mental Health, Wound Cosmesis and Wound Complication Of Skin Closure Using Adhesive Glue, Adhesive Tape And Suture In Paediatric Surgery Patients",https://clinicaltrials.gov/study/NCT06713772,RECRUITING,Skin Wound,"DEVICE: Dermabond Mini, 0.36ml, Ethicon Johnson and Johnson, Somerville, New Jersey, USA|DEVICE: Steri-StripsTM (3M, St. Paul, Minnesota, USA|DEVICE: Monosyn, B.Braun, 118 Pfieffewiesen, Melsungen, Germany",National University of Malaysia,,INTERVENTIONAL
NCT06713759,Impact of Postural Balance Changes on Low Back Pain During Pregnancy,https://clinicaltrials.gov/study/NCT06713759,NOT_YET_RECRUITING,Pregnancy|Low Back Pain,,October 6 University,,OBSERVATIONAL
NCT06713746,Growth Differentiation Factor 15 in ICU Acquired Muscle Weakness,https://clinicaltrials.gov/study/NCT06713746,COMPLETED,Muscle Weakness,DIAGNOSTIC_TEST: growth differentiation factor 15,Minia University,,OBSERVATIONAL
NCT06713733,Comparison of Clinical Efficacy of Submucosal Dexamethasone and Oral Trypsin-chymotrypsin for Reduction of Postoperative Sequelae After Lower Third Molar Surgery,https://clinicaltrials.gov/study/NCT06713733,RECRUITING,Clinical Efficacy of Submucosal Dexamethasone and Oral Trypsin Chymotrypsin for Reduction of Postoperative Sequelae After Lower Third Molar Surgery,DRUG: Dexamethasone|DRUG: Chymotrypsin,B.P. Koirala Institute of Health Sciences,,INTERVENTIONAL
NCT06713720,Remote Ischemic Conditioning for Non-Proliferative Diabetic Retinopathy,https://clinicaltrials.gov/study/NCT06713720,NOT_YET_RECRUITING,"Diabetic Retinopathy|Non-Proliferative Diabetic Retinopathy|Remote Ischemic Conditioning|Diabetes Mellitus, Type 2|Randomized Controlled Trial",DEVICE: Remote Ischemic Conditioning Device|DEVICE: Sham Remote Ischemic Conditioning Device,"Xuxiang Zhang, MD","Xuanwu Hospital, Beijing",INTERVENTIONAL
NCT06713707,Investigation of Validity and Reliability of the Minnesota Manual Dexterity Test in Parkinson's Disease,https://clinicaltrials.gov/study/NCT06713707,NOT_YET_RECRUITING,Parkinson Disease,OTHER: Manuel dexterity|OTHER: Manual Dexterity (only MMDT),Gazi University,Cumhuriyet University,OBSERVATIONAL
NCT06713694,"The Impact of Culture in Cognitive Behavior Therapy (CBT) for Anxiety, with Inflammatory Bowel Disease",https://clinicaltrials.gov/study/NCT06713694,NOT_YET_RECRUITING,Inflammatory Bowel Disease (IBD)|Cognitive Behavior Therapy,"OTHER: cognitive-behavioral therapy|OTHER: Wait first, then cognitive-behavioral therapy",Wang Zhen,,INTERVENTIONAL
NCT06713681,Trop2-targeting NIR-II Molecular Probe for Breast Cancer Precise Surgery,https://clinicaltrials.gov/study/NCT06713681,RECRUITING,Breast Cancer|Sentinel Lymph Node|Margins of Excision,DIAGNOSTIC_TEST: TTP-ICG incubation solution,Yunnan Cancer Hospital,Affiliated Cancer Hospital of Shantou University Medical College,OBSERVATIONAL
NCT06713668,Augmented Pacing for Shock in the Cardiac Intensive Care Unit,https://clinicaltrials.gov/study/NCT06713668,NOT_YET_RECRUITING,Cardiogenic Shock|Bradycardia|Shock,DEVICE: Backup Pacing Rate Change,Vanderbilt University Medical Center,,INTERVENTIONAL
NCT06713655,Predicting Treatment Failure in HSIL Patients with Positive Margins After Conization Via Detection of PAX1 Methylation,https://clinicaltrials.gov/study/NCT06713655,NOT_YET_RECRUITING,High-grade Squamous Intraepithelial Lesions (HSIL)|Cervical Conization,,Women's Hospital School Of Medicine Zhejiang University,Taizhou Hospital of Zhejiang Province affiliated to Wenzhou Medical University|Huzhou Maternity and Child Care Hospital|Jiaxing Maternity and Child Health Care Hospital|Shaoxing Maternity and Child Health Care Hospital|Ningbo No. 1 Hospital|Jinhua Central Hospital,OBSERVATIONAL
NCT06713642,SPOTFIRE Sore Throat (ST) Study,https://clinicaltrials.gov/study/NCT06713642,NOT_YET_RECRUITING,"Pharyngitis, Infective",DEVICE: SPOTFIRE ST System,"University of Wisconsin, Madison",BioMérieux,INTERVENTIONAL
